id,name
2 CroesBleddyn,2 CroesBleddyn
5 Usk Road,5 Usk Road
BathHouseLink,BathHouseLink
BeechGrove,BeechGrove
BensonsBush,BensonsBush
BuckwellStables,BuckwellStables
CarregAgWydr,CarregAgWydr
Cledd-y-TanBarn,Cledd-y-TanBarn
CoachHouse,CoachHouse
Coppice,Coppice
BlueBellBarn,BlueBellBarn
CrossBleddynFarm,CrossBleddynFarm
EarlswoodHall,EarlswoodHall
ForgeHouse,ForgeHouse
FoxAndHounds,FoxAndHounds
Gaerllwyd Farm,Gaerllwyd Farm
Gaerllwyd Stables,Gaerllwyd Stables
GFServer,GFServer
GreenPool,GreenPool
HeathCottage,HeathCottage
HillTop,HillTop
HomeFarm,HomeFarm
Huntsman,Huntsman
IttonStud,IttonStud
LatimerBarn,LatimerBarn
LittleBrookFarm,LittleBrookFarm
LittleFolly,LittleFolly
Mandalay,Mandalay
Panderry,Panderry
PandyFarm,PandyFarm
Pantycosyn,Pantycosyn
Pennsylvania,Pennsylvania
PentwynBarn,PentwynBarn
Prospect House,Prospect House
RampingCat,RampingCat
ShirenewtonChurch,ShirenewtonChurch
Stables2,Stables2
StDeniols,StDeniols
Tredean,Tredean
TremHafren,TremHafren
WestEnd,WestEnd
YewTreeHouse,YewTreeHouse